senseval2.d000.s000.t000 art.n.02
senseval2.d001.s067.t006 development.n.02
senseval2.d001.s067.t008 tumor.n.01
senseval2.d001.s068.t002 identity.n.02
senseval2.d001.s068.t003 gene.n.01
senseval2.d001.s068.t006 colon.n.01
senseval2.d001.s068.t007 cell.n.02
senseval2.d001.s068.t009 malignancy.n.01
senseval2.d001.s069.t001 chromosome.n.01
senseval2.d001.s070.t000 calendar_month.n.01
senseval2.d001.s070.t001 research_worker.n.01
senseval2.d001.s070.t003 gene.n.01
senseval2.d001.s070.t006 length.n.01
senseval2.d001.s070.t007 chromosome.n.01
senseval2.d001.s070.t010 bit.n.02
senseval2.d001.s070.t012 material.n.01
senseval2.d001.s070.t014 tumor.n.01
senseval2.d001.s070.t015 cell.n.02
senseval2.d001.s071.t000 piece.n.01
senseval2.d001.s071.t001 deoxyribonucleic_acid.n.01
senseval2.d001.s071.t004 gene.n.01
senseval2.d001.s072.t002 winter.n.01
senseval2.d001.s072.t004 search.n.01
senseval2.d001.s073.t000 doubt.n.01
senseval2.d001.s073.t002 fact.n.01
senseval2.d001.s073.t004 year.n.01
senseval2.d001.s073.t006 research_worker.n.01
senseval2.d001.s073.t008 experiment.n.01
senseval2.d001.s073.t009 mouse.n.01
senseval2.d001.s073.t010 gene.n.01
senseval2.d001.s073.t014 cell.n.02
senseval2.d001.s073.t016 one.n.01
senseval2.d001.s074.t003 topographic_point.n.01
senseval2.d001.s075.t001 gene.n.01
senseval2.d001.s075.t003 cancer.n.01
senseval2.d001.s075.t005 growth.n.01
senseval2.d001.s075.t006 scientist.n.01
senseval2.d001.s075.t008 gene.n.01
senseval2.d001.s075.t010 growth.n.01
senseval2.d001.s076.t000 scientist.n.01
senseval2.d001.s076.t002 gene.n.01
senseval2.d001.s076.t005 cancer.n.01
senseval2.d001.s076.t006 cell.n.02
senseval2.d001.s076.t007 gene.n.01
senseval2.d001.s076.t011 cancer.n.01
senseval2.d001.s076.t012 survey.n.01
senseval2.d001.s076.t016 kind.n.01
senseval2.d001.s076.t017 gene.n.01
senseval2.d001.s077.t000 discovery.n.01
senseval2.d001.s077.t004 gene.n.01
senseval2.d001.s077.t006 cancer.n.01
senseval2.d001.s077.t007 formation.n.01
senseval2.d001.s077.t009 leader.n.01
senseval2.d001.s077.t010 research.n.01
senseval2.d001.s078.t000 evidence.n.01
senseval2.d001.s078.t003 suppressor.n.02
senseval2.d001.s078.t006 cancer.n.01
senseval2.d001.s079.t000 research_worker.n.01
senseval2.d001.s079.t002 breast.n.02
senseval2.d001.s079.t003 tumor.n.01
senseval2.d001.s079.t004 copy.n.02
senseval2.d001.s079.t005 chromosome.n.01
senseval2.d001.s079.t007 topographic_point.n.01
senseval2.d001.s079.t008 gene.n.01
senseval2.d001.s080.t000 scientist.n.01
senseval2.d001.s080.t002 breast.n.02
senseval2.d001.s080.t003 cancer.n.01
senseval2.d001.s080.t007 member.n.02
senseval2.d001.s080.t009 class.n.01
senseval2.d001.s080.t010 gene.n.01
senseval2.d001.s080.t013 kind.n.01
senseval2.d001.s080.t014 woman.n.01
senseval2.d001.s080.t015 cancer.n.01
senseval2.d001.s081.t000 gene.n.01
senseval2.d001.s081.t003 lung.n.01
senseval2.d001.s081.t004 cancer.n.01
senseval2.d001.s082.t000 report.n.01
senseval2.d001.s082.t002 week.n.01
senseval2.d001.s082.t003 colleague.n.01
senseval2.d001.s082.t006 cell.n.02
senseval2.d001.s082.t008 lung.n.01
senseval2.d001.s082.t009 cancer.n.01
senseval2.d001.s082.t010 tissue.n.01
senseval2.d001.s082.t013 gene.n.01
senseval2.d001.s083.t000 report.n.01
senseval2.d001.s083.t001 lab.n.01
senseval2.d001.s083.t006 gene.n.01
senseval2.d001.s083.t007 tissue.n.01
senseval2.d001.s083.t009 kidney.n.01
senseval2.d001.s083.t010 brain.n.01
senseval2.d001.s083.t011 skin.n.01
senseval2.d001.s083.t012 cancer.n.01
senseval2.d001.s084.t001 team.n.01
senseval2.d001.s084.t004 gene.n.01
senseval2.d001.s085.t002 chromosome.n.01
senseval2.d001.s085.t005 colon.n.01
senseval2.d001.s085.t006 cancer.n.01
senseval2.d001.s086.t000 research_worker.n.01
senseval2.d001.s086.t003 gene.n.01
senseval2.d001.s086.t005 type.n.01
senseval2.d001.s086.t006 colon.n.01
senseval2.d001.s086.t007 cancer.n.01
senseval2.d001.s086.t009 chromosome.n.01
senseval2.d001.s087.t001 people.n.01
senseval2.d001.s087.t004 gene.n.01
senseval2.d001.s087.t006 copy.n.02
senseval2.d001.s087.t007 chromosome.n.01
senseval2.d001.s087.t009 lung.n.01
senseval2.d001.s087.t010 cancer.n.01
senseval2.d001.s088.t002 retinoblastoma.n.01
senseval2.d001.s088.t003 suppressor.n.02
senseval2.d001.s088.t006 lung.n.01
senseval2.d001.s088.t007 cancer.n.01
senseval2.d001.s088.t011 cancer.n.01
senseval2.d001.s089.t000 discovery.n.03
senseval2.d001.s089.t002 scientist.n.01
senseval2.d001.s090.t003 company.n.01
senseval2.d001.s090.t004 unit.n.02
senseval2.d001.s090.t006 gene.n.01
senseval2.d001.s090.t007 hunter.n.02
senseval2.d001.s090.t010 discovery.n.03
senseval2.d001.s090.t012 trial.n.02
senseval2.d001.s090.t015 therapy.n.01
senseval2.d001.s091.t000 research_worker.n.01
senseval2.d001.s091.t003 cancer.n.01
senseval2.d001.s091.t004 drug.n.01
senseval2.d001.s091.t007 tumor.n.01
senseval2.d001.s091.t008 growth.n.01
senseval2.d001.s091.t010 protein.n.01
senseval2.d001.s091.t013 gene.n.01
senseval2.d001.s092.t000 idea.n.01
senseval2.d001.s092.t002 patient.n.01
senseval2.d001.s092.t003 protein.n.01
senseval2.d001.s092.t006 version.n.02
senseval2.d001.s092.t008 gene.n.01
senseval2.d001.s093.t003 gene.n.01
senseval2.d001.s093.t005 version.n.02
senseval2.d001.s094.t003 discovery.n.01
senseval2.d001.s094.t006 measure.n.01
senseval2.d001.s094.t007 genesis.n.01
senseval2.d001.s094.t008 cancer.n.01
senseval2.d002.s000.t001 child.n.01
senseval2.d002.s003.t000 reason.n.02
senseval2.d002.s003.t003 education.n.01
senseval2.d002.s003.t008 belief.n.01
senseval2.d002.s003.t010 nature.n.01
senseval2.d002.s003.t012 nature.n.01
senseval2.d002.s003.t014 people.n.01
senseval2.d002.s003.t018 sake.n.01
senseval2.d002.s004.t000 belief.n.01
senseval2.d002.s004.t004 institution.n.01
senseval2.d002.s004.t005 politician.n.01
senseval2.d002.s004.t007 parent.n.01
senseval2.d002.s005.t001 example.n.01
senseval2.d002.s006.t001 sample_distribution.n.01
senseval2.d002.s006.t003 parent.n.01
senseval2.d002.s006.t005 grade_school.n.01
senseval2.d002.s006.t007 creativity.n.01
senseval2.d002.s006.t008 child.n.01
senseval2.d002.s006.t009 answer.n.01
senseval2.d002.s007.t002 creativity.n.01
senseval2.d002.s008.t000 one.n.01
senseval2.d002.s009.t003 self-expression.n.01
senseval2.d002.s009.t005 child.n.01
senseval2.d002.s009.t006 self-esteem.n.01
senseval2.d002.s010.t000 consequence.n.01
senseval2.d002.s010.t001 coevals.n.01
senseval2.d002.s010.t003 people.n.01
senseval2.d002.s010.t004 ignorance.n.01
senseval2.d002.s010.t006 incompetence.n.01
senseval2.d002.s010.t010 opinion.n.01
senseval2.d002.s011.t001 notion.n.02
senseval2.d002.s011.t002 creativity.n.01
senseval2.d002.s011.t003 education.n.01
senseval2.d002.s011.t005 rebellion.n.02
senseval2.d002.s011.t007 education.n.01
senseval2.d002.s011.t010 repression.n.01
senseval2.d002.s011.t011 frustration.n.01
senseval2.d002.s011.t013 endowment.n.01
senseval2.d002.s011.t018 capability.n.03
senseval2.d002.s011.t020 soul.n.03
senseval2.d002.s011.t021 child.n.02
senseval2.d002.s012.t001 parent.n.01
senseval2.d002.s013.t002 parent.n.01
senseval2.d002.s013.t004 child.n.02
senseval2.d002.s013.t007 education.n.01
senseval2.d002.s013.t012 common_sense.n.01
senseval2.d002.s014.t000 committedness.n.01
senseval2.d002.s014.t001 creativity.n.01
senseval2.d002.s014.t004 illiteracy.n.02
senseval2.d002.s015.t001 education.n.04
senseval2.d002.s015.t002 future.n.01
senseval2.d002.s015.t004 degree.n.02
senseval2.d002.s015.t006 common_sense.n.01
senseval2.d002.s015.t008 illusion.n.02
senseval2.d002.s016.t000 education.n.01
senseval2.d002.s016.t001 institution.n.01
senseval2.d002.s016.t003 common_sense.n.01
senseval2.d002.s017.t000 reason.n.01
senseval2.d002.s017.t003 reason.n.01
senseval2.d002.s018.t001 education.n.01
senseval2.d002.s018.t008 teacher.n.01
senseval2.d002.s018.t010 education.n.01
senseval2.d002.s019.t001 teacher.n.01
senseval2.d002.s019.t003 personality.n.01
senseval2.d002.s019.t004 development.n.02
senseval2.d002.s019.t009 examination.n.02
senseval2.d002.s019.t012 result.n.03
senseval2.d002.s020.t002 teacher.n.01
senseval2.d002.s020.t003 profession.n.01
senseval2.d002.s020.t005 course.n.01
senseval2.d002.s020.t007 psychology.n.01
senseval2.d002.s020.t009 philosophy.n.02
senseval2.d002.s021.t002 course.n.01
senseval2.d002.s021.t003 college.n.01
senseval2.d002.s021.t006 schoolteacher.n.01
senseval2.d002.s022.t003 pap.n.01
senseval2.d002.s022.t004 course.n.01
senseval2.d002.s023.t002 teacher.n.01
senseval2.d002.s023.t005 institution.n.01
senseval2.d002.s024.t002 schoolteacher.n.01
senseval2.d002.s024.t007 teaching.n.01
senseval2.d002.s025.t002 coevals.n.01
senseval2.d002.s025.t006 people.n.01
senseval2.d002.s026.t000 job.n.05
senseval2.d002.s027.t003 teacher.n.01
senseval2.d002.s028.t000 education.n.01
senseval2.d002.s029.t000 sense.n.02
senseval2.d002.s029.t001 teacher.n.01
senseval2.d002.s029.t003 one.n.01
senseval2.d002.s029.t004 family_doctor.n.01
senseval2.d002.s030.t002 family_doctor.n.01
senseval2.d002.s032.t000 teacher.n.01
senseval2.d002.s032.t002 factor.n.01
senseval2.d002.s032.t004 crisis.n.01
senseval2.d002.s033.t000 problem.n.01
senseval2.d002.s033.t001 fairness.n.01
senseval2.d002.s033.t003 problem.n.01
senseval2.d002.s034.t001 libel.n.02
senseval2.d002.s034.t002 teacher.n.01
senseval2.d002.s034.t005 child.n.01
senseval2.d002.s034.t010 year.n.01
senseval2.d002.s035.t000 kind.n.01
senseval2.d002.s035.t001 libel.n.01
senseval2.d002.s035.t002 teacher.n.01
senseval2.d002.s035.t003 union.n.01
senseval2.d002.s035.t008 purpose.n.01
senseval2.d002.s036.t001 kind.n.01
senseval2.d002.s036.t002 libel.n.01
senseval2.d002.s036.t003 politician.n.01
senseval2.d002.s036.t009 position.n.12
senseval2.d002.s036.t010 behalf.n.01
senseval2.d002.s036.t012 constituency.n.01
senseval2.d002.s037.t000 shred.n.01
senseval2.d002.s037.t001 evidence.n.01
senseval2.d002.s037.t003 thing.n.03
senseval2.d002.s037.t005 wage.n.01
senseval2.d002.s037.t006 derived_function.n.01
senseval2.d002.s037.t009 derived_function.n.01
senseval2.d002.s038.t001 evidence.n.01
senseval2.d002.s039.t003 education.n.02
senseval2.d002.s040.t002 school.n.01
senseval2.d002.s040.t004 state.n.04
senseval2.d002.s041.t001 majority.n.01
senseval2.d002.s041.t003 school.n.01
senseval2.d002.s041.t005 attempt.n.01
senseval2.d002.s041.t007 reform.n.01
senseval2.d002.s042.t006 cognition.n.01
senseval2.d002.s043.t000 respect.n.01
senseval2.d002.s043.t003 leader.n.01
senseval2.d002.s044.t004 pap.n.01
senseval2.d002.s045.t002 governor.n.01
senseval2.d002.s045.t003 conference.n.01
senseval2.d002.s045.t004 education.n.01
senseval2.d002.s045.t006 state.n.04
senseval2.d002.s045.t009 policy.n.01
senseval2.d002.s045.t010 child.n.01
senseval2.d002.s046.t001 development.n.01
senseval2.d002.s046.t002 policy.n.01
senseval2.d002.s046.t003 governor.n.01
senseval2.d002.s046.t007 need.n.02
senseval2.d002.s047.t004 system.n.02
senseval2.d002.s048.t001 childcare.n.01
senseval2.d002.s048.t002 program.n.02
senseval2.d002.s048.t004 program.n.02
senseval2.d002.s049.t003 exposure.n.02
senseval2.d002.s049.t004 schooling.n.01
senseval2.d002.s049.t006 performance.n.03
senseval2.d002.s049.t008 class.n.02
senseval2.d002.s049.t010 difference.n.01
senseval2.d002.s050.t002 education.n.01
senseval2.d002.s050.t003 education.n.01
senseval2.d002.s050.t004 reform.n.01
senseval2.d002.s050.t008 engagement.n.07
senseval2.d002.s050.t010 idea.n.01
senseval2.d002.s051.t000 parent.n.01
senseval2.d002.s051.t004 school.n.01
senseval2.d002.s051.t006 limitation.n.02
senseval2.d002.s051.t007 child.n.02
senseval2.d002.s052.t000 parent.n.01
senseval2.d002.s052.t002 child.n.01
senseval2.d002.s052.t003 education.n.01
senseval2.d002.s052.t004 home.n.01
senseval2.d002.s052.t005 school.n.01
senseval2.d002.s053.t001 child.n.01
senseval2.d002.s053.t006 child.n.01
senseval2.d002.s053.t009 time.n.02
senseval2.d002.s053.t010 homework.n.01
senseval2.d002.s053.t012 report_card.n.01
senseval2.d002.s054.t000 parent.n.01
senseval2.d002.s054.t001 school.n.01
senseval2.d002.s054.t002 option.n.02
senseval2.d002.s055.t000 community.n.01
senseval2.d002.s055.t001 engagement.n.07
senseval2.d002.s055.t004 idea.n.01
senseval2.d002.s056.t001 experience.n.02
senseval2.d002.s057.t002 school_board.n.01
senseval2.d002.s057.t005 city.n.01
senseval2.d002.s057.t013 politician.n.01
senseval2.d002.s057.t015 politician.n.01
senseval2.d002.s058.t000 procedure.n.01
senseval2.d002.s058.t002 arrangement.n.03
senseval2.d002.s058.t003 school.n.01
senseval2.d002.s058.t004 government.n.02
senseval2.d002.s058.t007 city.n.01
senseval2.d002.s059.t002 outgo.n.01
senseval2.d002.s059.t003 education.n.01
senseval2.d002.s059.t005 circumstance.n.01
senseval2.d002.s059.t008 thing.n.01
senseval2.d002.s060.t000 reason.n.01
senseval2.d002.s060.t002 education.n.01
senseval2.d002.s060.t004 classroom.n.01
senseval2.d002.s060.t005 influence.n.01
senseval2.d002.s060.t006 money.n.01
senseval2.d002.s061.t000 decade.n.01
senseval2.d002.s061.t002 research.n.01
senseval2.d002.s061.t007 class.n.02
senseval2.d002.s061.t008 consequence.n.01
senseval2.d002.s061.t010 performance.n.03
senseval2.d002.s061.t011 student.n.01
senseval2.d002.s061.t015 reason.n.01
senseval2.d002.s062.t001 money.n.01
senseval2.d002.s062.t006 structure.n.01
senseval2.d002.s062.t010 paperwork.n.01
senseval2.d002.s062.t011 teacher.n.01
senseval2.d002.s063.t000 mystery.n.01
senseval2.d002.s063.t001 paradox.n.01
senseval2.d002.s063.t002 fact.n.01
senseval2.d002.s063.t004 outgo.n.01
senseval2.d002.s063.t012 student.n.01
senseval2.d002.s063.t014 state.n.04
senseval2.d002.s063.t016 performance.n.03
senseval2.d002.s064.t000 manner.n.01
senseval2.d002.s065.t000 student.n.01
senseval2.d002.s065.t003 potential.n.01
senseval2.d002.s066.t000 student.n.01
senseval2.d002.s066.t003 grade_school.n.01
senseval2.d002.s066.t005 degree.n.02
senseval2.d002.s066.t007 year.n.01
senseval2.d002.s067.t002 purpose.n.01
senseval2.d002.s067.t006 child.n.01
senseval2.d002.s067.t014 study.n.02
senseval2.d002.s067.t017 world.n.02
senseval2.d002.s067.t018 study.n.02
senseval2.d002.s068.t000 impression.n.01
senseval2.d002.s069.t000 purpose.n.01
senseval2.d002.s069.t001 education.n.01
senseval2.d002.s069.t004 man.n.01
senseval2.d002.s069.t005 woman.n.01
senseval2.d002.s069.t009 potential.n.01
senseval2.d002.s070.t004 potential.n.01
senseval2.d002.s071.t003 textbook.n.01
senseval2.d002.s071.t007 one.n.01
senseval2.d002.s073.t003 hypothesis.n.02
senseval2.d002.s073.t006 experience.n.01
senseval2.d002.s074.t000 reason.n.02
senseval2.d002.s074.t002 student.n.01
senseval2.d002.s074.t005 mathematics.n.01
senseval2.d002.s074.t011 student.n.01
senseval2.d002.s074.t012 influence.n.01
senseval2.d002.s074.t014 textbook.n.01
senseval2.d002.s074.t015 teaching.n.01
senseval2.d002.s074.t016 method.n.01
senseval2.d002.s075.t004 situation.n.01
senseval2.d002.s075.t005 student.n.01
senseval2.d002.s075.t010 basis.n.02
senseval2.d002.s075.t012 theory.n.01
senseval2.d002.s075.t014 article.n.01
senseval2.d002.s075.t016 mathematics.n.01
senseval2.d002.s075.t017 major.n.03
senseval2.d002.s076.t002 school.n.01
senseval2.d002.s076.t003 principal.n.02
senseval2.d002.s076.t005 measure.n.02
senseval2.d002.s076.t006 authority.n.01
senseval2.d002.s076.t007 staff.n.03
senseval2.d002.s076.t008 course_of_study.n.01
senseval2.d002.s076.t009 topic.n.02
senseval2.d002.s076.t010 student.n.01
senseval2.d002.s077.t000 survey.n.01
senseval2.d002.s077.t001 survey.n.01
senseval2.d002.s077.t006 school.n.01
senseval2.d002.s077.t008 intervention.n.02
senseval2.d002.s077.t011 head.n.04
senseval2.d002.s078.t000 authority.n.01
senseval2.d002.s078.t004 accountability.n.01
senseval2.d002.s079.t000 school.n.01
senseval2.d002.s079.t002 manner.n.01
senseval2.d002.s079.t004 student.n.01
senseval2.d002.s079.t006 esprit_de_corps.n.01
senseval2.d002.s079.t009 performance.n.03
senseval2.d002.s080.t000 fact.n.01
senseval2.d002.s080.t002 fact.n.01
senseval2.d002.s080.t004 one.n.01
senseval3.d000.s000.t000 man.n.01
senseval3.d000.s001.t001 companion.n.01
senseval3.d000.s001.t003 eye.n.01
senseval3.d000.s002.t002 answer.n.01
senseval3.d000.s002.t004 surprise.n.01
senseval3.d000.s002.t005 paroxysm.n.01
senseval3.d000.s002.t006 cough.n.01
senseval3.d000.s003.t000 man.n.01
senseval3.d000.s004.t001 buddy.n.01
senseval3.d000.s004.t003 drink.n.01
senseval3.d000.s004.t004 drink.n.01
senseval3.d000.s004.t006 count.n.01
senseval3.d000.s004.t007 man.n.01
senseval3.d000.s004.t008 eye.n.01
senseval3.d000.s005.t000 guy.n.01
senseval3.d000.s005.t001 rocking_chair.n.01
senseval3.d000.s005.t004 eye.n.01
senseval3.d000.s006.t000 eye.n.01
senseval3.d000.s006.t004 intensity.n.02
senseval3.d000.s006.t006 fire.n.03
senseval3.d000.s008.t000 man.n.01
senseval3.d000.s009.t003 stranger.n.01
senseval3.d000.s011.t001 hour.n.01
senseval3.d000.s011.t003 drinking.n.01
senseval3.d000.s011.t004 juncture.n.01
senseval3.d000.s012.t000 stranger.n.01
senseval3.d000.s012.t001 head.n.01
senseval3.d000.s012.t003 thinking.n.01
senseval3.d000.s012.t006 street.n.01
senseval3.d000.s012.t007 light.n.02
senseval3.d000.s012.t009 moving_van.n.01
senseval3.d000.s012.t011 intersection.n.02
senseval3.d000.s013.t000 brake.n.01
senseval3.d000.s013.t002 horn.n.01
senseval3.d000.s013.t004 man.n.01
senseval3.d000.s013.t007 second.n.01
senseval3.d000.s014.t000 cry.n.01
senseval3.d000.s014.t003 thinking.n.01
senseval3.d000.s015.t002 guy.n.01
senseval3.d000.s016.t002 mouth.n.01
senseval3.d000.s016.t003 truck.n.01
senseval3.d000.s016.t005 stop.n.01
senseval3.d000.s016.t007 driver.n.01
senseval3.d000.s016.t009 cab.n.01
senseval3.d000.s017.t000 stranger.n.01
senseval3.d000.s017.t003 arm.n.01
senseval3.d000.s017.t004 shoulder.n.01
senseval3.d000.s017.t006 friend.n.01
senseval3.d000.s018.t000 driver.n.01
senseval3.d000.s018.t003 plot.n.01
senseval3.d000.s018.t006 record.n.04
senseval3.d000.s019.t000 man.n.01
senseval3.d000.s019.t004 teamster.n.02
senseval3.d000.s019.t005 face.n.01
senseval3.d000.s019.t007 word.n.01
senseval3.d000.s020.t000 driver.n.01
senseval3.d000.s020.t004 heel.n.02
senseval3.d000.s020.t005 truck.n.01
senseval3.d000.s021.t002 thinking.n.01
senseval3.d000.s021.t003 time.n.03
senseval3.d000.s022.t003 eye.n.01
senseval3.d000.s023.t000 kind.n.01
senseval3.d000.s023.t001 expression.n.01
senseval3.d000.s023.t003 bluff.n.02
senseval3.d000.s023.t005 word.n.01
senseval3.d000.s024.t000 light.n.02
senseval3.d000.s024.t002 direction.n.01
senseval3.d000.s024.t004 street.n.01
senseval3.d000.s025.t000 stranger.n.01
senseval3.d000.s025.t004 barroom.n.01
senseval3.d000.s025.t008 drink.n.01
senseval3.d000.s026.t003 corner.n.03
senseval3.d000.s026.t005 time.n.02
senseval3.d000.s026.t008 grudge.n.01
senseval3.d000.s027.t002 company.n.03
senseval3.d000.s027.t005 drink.n.01
senseval3.d000.s027.t008 money.n.01
senseval3.d000.s027.t009 occupation.n.01
senseval3.d000.s029.t002 crackpot.n.01
senseval3.d000.s029.t003 company.n.03
senseval3.d000.s030.t001 offer.n.02
senseval3.d000.s031.t001 cough.n.01
senseval3.d000.s031.t004 first_name.n.01
senseval3.d000.s031.t006 answer.n.01
senseval3.d000.s032.t002 laugh.n.01
senseval3.d000.s034.t000 thanks.n.01
senseval3.d000.s035.t001 wrinkle.n.01
senseval3.d000.s035.t003 man.n.01
senseval3.d000.s035.t004 eyebrow.n.01
senseval3.d000.s038.t001 kind.n.01
senseval3.d000.s038.t002 grudge.n.01
senseval3.d000.s039.t001 truck.n.01
senseval3.d000.s040.t001 favor.n.01
senseval3.d000.s041.t001 person.n.01
senseval3.d000.s042.t001 penny.n.02
senseval3.d000.s044.t001 brow.n.01
senseval3.d000.s046.t001 guy.n.01
senseval3.d000.s046.t003 exit.n.03
senseval3.d000.s047.t003 people.n.01
senseval3.d000.s048.t003 landlord.n.01
senseval3.d000.s049.t004 radio_receiver.n.01
senseval3.d000.s049.t007 bath.n.02
senseval3.d000.s050.t001 neighbor.n.01
senseval3.d000.s052.t000 man.n.01
senseval3.d000.s052.t002 eye.n.01
senseval3.d000.s055.t001 address.n.02
senseval3.d000.s056.t001 time.n.02
senseval3.d000.s057.t002 landlord.n.01
senseval3.d000.s057.t003 habit.n.02
senseval3.d000.s057.t004 movement.n.03
senseval3.d000.s058.t003 accident.n.02
senseval3.d000.s059.t000 suicide.n.01
senseval3.d000.s060.t000 fuss.n.02
senseval3.d000.s060.t001 customer.n.01
senseval3.d000.s061.t000 eyebrow.n.01
senseval3.d000.s062.t000 customer.n.01
senseval3.d000.s064.t000 occupation.n.01
senseval3.d000.s065.t000 minute.n.01
senseval3.d000.s065.t002 break.n.13
senseval3.d000.s065.t003 stranger.n.01
senseval3.d000.s065.t006 farewell.n.01
senseval3.d000.s066.t003 man.n.01
senseval3.d000.s066.t004 slip.n.07
senseval3.d000.s066.t005 doorway.n.01
senseval3.d000.s066.t011 departure.n.01
senseval3.d000.s067.t002 time.n.05
senseval3.d000.s067.t007 man.n.01
senseval3.d000.s067.t009 glass.n.01
senseval3.d000.s067.t010 table.n.02
senseval3.d000.s068.t000 time.n.01
senseval3.d000.s068.t001 midnight.n.01
senseval3.d000.s068.t003 apartment.n.01
senseval3.d000.s068.t007 incident.n.01
senseval3.d000.s068.t008 mind.n.02
senseval3.d000.s069.t001 day.n.03
senseval3.d000.s069.t002 hangover.n.01
senseval3.d000.s069.t004 night.n.01
senseval3.d000.s070.t000 hangover.n.01
senseval3.d000.s070.t002 conversation.n.01
senseval3.d000.s070.t003 creep.n.01
senseval3.d000.s071.t001 aspirin.n.01
senseval3.d000.s071.t002 day.n.03
senseval3.d000.s071.t005 landlord.n.01
senseval3.d000.s071.t009 tenant.n.01
senseval3.d000.s071.t010 burden.n.01
senseval3.d000.s071.t011 life.n.03
senseval3.d000.s074.t000 landlord.n.01
senseval3.d000.s075.t003 check.n.01
senseval3.d000.s075.t005 care.n.06
senseval3.d000.s075.t006 wife.n.01
senseval3.d000.s075.t008 stranger.n.01
senseval3.d000.s076.t001 home.n.01
senseval3.d000.s076.t002 workplace.n.01
senseval3.d000.s076.t005 front.n.01
senseval3.d000.s077.t000 anteroom.n.01
senseval3.d000.s077.t001 people.n.01
senseval3.d000.s078.t000 spinal_column.n.01
senseval3.d000.s078.t003 foreboding.n.01
senseval3.d000.s078.t005 chap.n.01
senseval3.d000.s078.t006 tenant.n.01
senseval3.d000.s079.t000 landlord.n.01
senseval3.d000.s080.t000 afternoon.n.01
senseval3.d000.s080.t003 roof.n.01
senseval3.d000.s080.t005 errand.n.01
senseval3.d000.s080.t006 inspection.n.01
senseval3.d000.s082.t000 cipher.n.04
senseval3.d000.s082.t002 spill.n.04
senseval3.d000.s082.t004 impact.n.01
senseval3.d000.s082.t005 body.n.01
senseval3.d000.s082.t007 sidewalk.n.01
senseval3.d000.s082.t008 basement.n.01
senseval3.d000.s082.t009 delivery.n.01
senseval3.d000.s082.t010 entrance.n.01
senseval3.d000.s083.t001 cipher.n.04
senseval3.d000.s083.t004 lividness.n.01
senseval3.d000.s083.t006 blood.n.01
senseval3.d000.s083.t008 cheek.n.01
senseval3.d000.s084.t004 awkwardness.n.01
senseval3.d000.s084.t005 elevator.n.01
senseval3.d000.s085.t000 apartment.n.01
senseval3.d000.s085.t002 drink.n.01
senseval3.d000.s085.t004 hand.n.01
senseval3.d000.s085.t006 chair.n.01
senseval3.d000.s086.t000 while.n.01
senseval3.d000.s086.t005 question.n.01
senseval3.d000.s088.t001 accident.n.01
senseval3.d000.s088.t002 coincidence.n.01
senseval3.d000.s089.t000 stranger.n.01
senseval3.d000.s089.t002 nothing.n.01
senseval3.d000.s090.t003 landlord.n.01
senseval3.d000.s091.t000 man.n.01
senseval3.d000.s091.t002 family.n.02
senseval3.d000.s092.t002 man.n.01
senseval3.d000.s092.t003 favor.n.01
senseval3.d000.s094.t000 stranger.n.01
senseval3.d000.s094.t001 eye.n.01
senseval3.d000.s094.t005 feeling.n.01
senseval3.d000.s095.t002 dream.n.01
senseval3.d000.s095.t003 dream.n.01
senseval3.d000.s095.t005 overtone.n.01
senseval3.d000.s095.t006 nightmare.n.02
senseval3.d000.s096.t001 dream.n.01
senseval3.d000.s098.t001 barroom.n.01
senseval3.d000.s098.t002 week.n.01
senseval3.d000.s098.t003 night.n.01
senseval3.d000.s098.t005 excuse.n.01
senseval3.d000.s099.t002 corner.n.05
senseval3.d000.s099.t004 table.n.02
senseval3.d000.s099.t008 alcoholic.n.01
senseval3.d000.s100.t002 ritual.n.01
senseval3.d000.s100.t004 pet.n.01
senseval3.d000.s100.t005 grievance.n.03
senseval3.d000.s100.t006 bourbon.n.02
senseval3.d000.s100.t007 water.n.01
senseval3.d000.s101.t001 grievance.n.02
senseval3.d000.s101.t002 landlord.n.01
senseval3.d000.s103.t001 goad.n.02
senseval3.d000.s103.t002 moment.n.01
senseval3.d000.s104.t001 grievance.n.02
senseval3.d000.s105.t000 end.n.02
senseval3.d000.s105.t005 ring.n.02
senseval3.d000.s105.t006 bottom.n.01
senseval3.d000.s105.t007 glass.n.02
senseval3.d000.s106.t002 eye.n.01
senseval3.d000.s106.t004 stranger.n.01
senseval3.d000.s106.t006 table.n.02
senseval3.d000.s106.t009 smile.n.01
senseval3.d000.s106.t010 conspirator.n.01
senseval3.d000.s107.t001 name.n.01
senseval3.d000.s108.t000 man.n.01
senseval3.d000.s108.t002 shadow.n.01
senseval3.d000.s108.t005 noise.n.01
senseval3.d000.s108.t006 shadow.n.01
senseval3.d000.s109.t004 corner.n.03
senseval3.d000.s109.t008 man.n.01
senseval3.d000.s110.t004 evening.n.01
senseval3.d000.s110.t005 truck.n.01
senseval3.d000.s110.t007 crossing.n.05
senseval3.d000.s111.t001 creep.n.01
senseval3.d000.s111.t002 barroom.n.01
senseval3.d000.s112.t003 topographic_point.n.01
senseval3.d000.s113.t001 voice.n.02
senseval3.d000.s113.t003 man.n.01
senseval3.d000.s113.t006 manner.n.01
senseval3.d000.s113.t007 landlord.n.01
